SaoHoa10-SCENE 001: Wide static horizon frame — Cold dawn glare — Volcano sinkhole rim — Detailed Description: acolossal, pitch-black basalt sinkhole yawns open in the middle of a vast, desolate Martian desert under the cold, paledawn light, as high-velocity wind sweeps along the jagged volcanic rim, kicking up thin plumes of rusty dust thatcascade silently into the bottomless subterranean shadows below. | CONTINUITY: none, establishing the geographic scaleof the volcanic terrain and ancient impact zone | NEXT: transition to a tighter vertical view of the primary sinkholeshaft to examine the fractured rock layers | AUDIO: thin howling wind, remote rock grit sliding, low-frequencyatmospheric drone, dust scraping | VOICE : none
SaoHoa10-SCENE 002: Fixed high angle — Pale morning glare — Deep basalt vertical shaft entrance — Detailed Description:looking directly down into the steep, vertical throat of the ancient volcanic passage, where jagged basalt strata andhorizontal dust lines define the geological age of the red planet, while a gentle stream of crimson regolith sandtrickles over the rocky ledge into the dark. | CONTINUITY: volcanic sinkhole scale established, wind forces remainconstant | NEXT: move closer to the fractured ceiling structures deep within the shelter entrance | AUDIO: graveltrickling down deep rock, hollow echo of wind, atmospheric hum | VOICE : none
SaoHoa10-SCENE 003: Low terrain-reading angle — Dim volcanic shadow — Ceiling of the massive lava tube — DetailedDescription: a detailed view of the massive basalt ceiling inside the lava tube threshold reveals extensive network ofancient hairline fractures and deep impact scars caused by centuries of meteorite strikes on the surface directly above,with loose rock fragments trembling slightly under physical stress. | CONTINUITY: vertical descent path defined,structural fractures visible on the basalt dome | NEXT: transition to the interior of the primary base habitat toestablish human presence | AUDIO: deep mechanical vibration through rock, stone grinding, soft wind whisper | VOICE :none
SaoHoa09-SCENE 112: Low terrain-reading angle — Late afternoon fatigue light — Sintering platform — Dropping from thelowest ladder rung, Grant-charactor lands heavily on the loose, orange soil. His injured right shoulder takes the bruntof the impact as he stumbles slightly, sending a wave of white-hot pain through his arm and forcing him to drop to oneknee on the basalt rock while holding onto the loader's track for balance. | CONTINUITY: stepped onto surface, shoulderinjury aggravated by impact | NEXT: standing up and retrieving the heavy hammer | AUDIO: heavy thud on dirt, suit jointcreak, painful grunt in helmet | VOICE : none | IMAGES: Grant-charactor
SaoHoa09-SCENE 113: Medium static working frame — Late afternoon fatigue light — Sintering platform — Forcing himself tostand, Grant-charactor uses his left hand to unclamp the heavy mechanical hammer from his harness. The sky above is nowglowing with a strange green-violet aurora, showing the first high-energy protons from the solar storm are collidingwith the upper atmosphere, even as he steps toward the toxic orange venting zone. | CONTINUITY: manual hammer retrieved,atmospheric aurora visible | NEXT: approaching the buried lander venting zone | AUDIO: tool clamp snap, heavy wind howl,respirator hum | VOICE : none | IMAGES: Grant-charactor
SaoHoa09-SCENE 114: Close structural insert — Late afternoon fatigue light — Sintering platform — Stepping into the edgeof the orange hydrazine vapor cloud, Grant-charactor feels the toxic gas condense onto his gold visor, leaving a greasy,orange-tinted residue that distorts his vision. His suit's primary carbon filter system emits a continuous, low-pitchedwarning chime as it struggles to scrub the toxic ammonia derivatives from his oxygen. | CONTINUITY: entered toxichydrazine vapor cloud, visor dirty | NEXT: locating the lander's corroded pressure relief valve | AUDIO: continuousfilter warning chime, heavy wheezing, wind roar | VOICE : none | IMAGES: Grant-charactor
SaoHoa09-SCENE 115: Close structural insert — Late afternoon fatigue light — Sintering platform — Kneeling in hot sandbeside the exposed gold plate of the 2030s lander, Grant-charactor sweeps away the loose soil. Under a cracked strut, hespots the corroded brass pressure relief valve, which vents a whistling stream of frozen orange hydrazine ice. |CONTINUITY: relief valve located, lander frame exposed | NEXT: aiming the heavy hammer at the seized valve | AUDIO: sandsweeping, whistling hiss, tool clinks | VOICE : I see the relief valve. It's brass, completely seized with decades ofoxidized grime. If I hit it wrong, the spark could ignite the whole line. | IMAGES: Grant-charactor
SaoHoa09-SCENE 116: Close tool insert — Late afternoon fatigue light — Sintering platform — Raising the heavy steelhammer with his left arm, Grant-charactor aligns the striking face with the seized brass stem of the valve. His visor isheavily smeared with orange residue, and the green-violet aurora in the sky casts an eerie, pulsing glow over the scene,making it difficult to judge the exact physical distance in the dimming light. | CONTINUITY: hammer aimed at seizedvalve, blurred gold visor vision | NEXT: delivering the first physical strike to the valve | AUDIO: glove leathersqueaking, heavy rapid breathing, whistling gas hiss | VOICE : none | IMAGES: Grant-charactor
SaoHoa09-SCENE 117: Medium static working frame — Late afternoon fatigue light — Sintering platform — With a violentphysical effort, Grant-charactor swings the heavy hammer down onto the seized valve stem. A sharp metallic ring echoesthrough the basalt bedrock, accompanied by a small shower of sparks that immediately flash-ignites a tiny pocket ofescaping gas, creating a brief, bright orange flame before the thin atmosphere chokes it out. | CONTINUITY: first strikedelivered, brief gas flare-up extinguished | NEXT: assessing valve state for second strike | AUDIO: sharp metallic ring,brief flame whoosh, rapid suit telemetry | VOICE : none | IMAGES: Grant-charactor
SaoHoa09-SCENE 118: Close structural insert — Late afternoon fatigue light — Sintering platform — Inspecting the valveunder the flashing status lights of his chest rig, Grant-charactor sees the brass stem has bent slightly, but the mainseal remains stubbornly closed. The high-pressure whistling continues to grow louder and higher in pitch, indicating thepressure inside the hydrazine tank is continuing its dangerous upward climb. | CONTINUITY: valve bent but still sealed,rising high-pressure hiss | NEXT: preparing for a second, harder manual strike | AUDIO: high-pitched whistling hiss,heavy wheezing, wind rattling | VOICE : none | IMAGES: Grant-charactor
SaoHoa09-SCENE 119: Medium static working frame — Late afternoon fatigue light — Sintering platform — Gritting his teethagainst the agonizing pain in his right shoulder, Grant-charactor uses both hands to grip the heavy hammer, bracing hisfeet against the loose sand. The atmospheric static charges are now dancing visibly along the hammer’s metal head,threatening to shock him if he doesn't complete the strike quickly. | CONTINUITY: heavy hammer gripped with both hands,static on tool head | NEXT: striking the valve with maximum force | AUDIO: leather glove squeak, agonizing groan, loudstatic crackle | VOICE : none | IMAGES: Grant-charactor
SaoHoa09-SCENE 120: Medium static working frame — Late afternoon fatigue light — Sintering platform — With a desperateheave, Grant-charactor drives the hammer down onto the seized valve. A loud, metal-shattering crack echoes as thehousing fractures, immediately releasing a massive, roaring torrent of frozen orange hydrazine ice that shoots upwardinto the red sky. | CONTINUITY: valve shattered, high-pressure hydrazine venting initiated | NEXT: backing away from theviolent chemical jet | AUDIO: metal-shattering crack, roaring gas jet, screaming wind | VOICE : It cracked! The valve isopen! The pressure is finally venting, but this cloud is massive—I need to get clear now. | IMAGES: Grant-charactor
SaoHoa09-SCENE 121: Rear follow frame — Late afternoon fatigue light — Sintering platform — Stumbling backward throughthe swirling orange mist, Grant-charactor shields his face as the roaring jet of hydrazine ice rains down around him.The chemical crystals freeze instantly upon contact with his spacesuit, leaving a thick, crusty orange layer of toxicfrost across his chest plate and knees in the freezing Martian air. | CONTINUITY: chemical frost accumulating on suit,backing away from jet | NEXT: verifying hydrazine pressure drop on forearm display | AUDIO: roaring gas jet, frozen icetapping suit, heavy breathing | VOICE : none | IMAGES: Grant-charactor
SaoHoa09-SCENE 122: Close tool insert — Late afternoon fatigue light — Sintering platform — Raising his frost-coveredleft arm, Grant-charactor cleans the display to monitor the hydrazine tank pressure. The analog dial is finally droppingrapidly, sliding out of the red hazard zone as the volatile gas escapes safely into the atmosphere, neutralizing theimmediate threat of a catastrophic explosion near the Hab. | CONTINUITY: hydrazine pressure dropping, immediateexplosion hazard resolved | NEXT: checking solar radiation warning status | AUDIO: alarm beeps slowing down, glovecleaning screen, roaring jet | VOICE : none | IMAGES: Grant-charactor
SaoHoa09-SCENE 123: Wide static horizon frame — Late afternoon fatigue light — Sintering platform — Looking up throughhis smeared gold visor, Grant-charactor observes the green-violet aurora swirling wildly across the entire sky. Thesolar proton event is now entering its peak phase, and the high-energy radiation is beginning to penetrate the upperatmosphere, triggering the primary radiation dosimeter on his chest to beep erratically. | CONTINUITY: solar radiationstorm peaking, atmospheric aurora dancing | NEXT: returning to the loader crawler cabin | AUDIO: erratic dosimeterbeeps, wind howling, low jet rumble | VOICE : none | IMAGES: Grant-charactor
SaoHoa09-SCENE 124: Medium static working frame — Late afternoon fatigue light — Sintering platform — Dragging hisexhausted body back to the loader, Grant-charactor grips the metal handrails with his left hand. His knees are stiff andheavy from the fine static-charged dust clogging his suit joints, and every lifting movement requires immense physicalwillpower as his injured right shoulder continues to throb with intense pain. | CONTINUITY: climbing loader crawler,joints stiffened by electrostatic dust | NEXT: entering the loader cockpit | AUDIO: heavy boot clanks, strained wheezinginside helmet, wind whistling | VOICE : none | IMAGES: Grant-charactor
SaoHoa09-SCENE 125: Fixed interior frame — Late afternoon fatigue light — Sintering platform — Sliding into the cockpit,Grant-charactor pulls the door shut, sealing out the roaring wind. He collapses against the headrest, breathing fast ashe stares through the windshield at the venting lander, realizing he has survived the blast but is now heavily exposedto the solar storm. | CONTINUITY: cabin door sealed, radiation exposure active | NEXT: driving crawler down the slope |AUDIO: heavy door slam, sudden wind dampening, rapid shallow breathing | VOICE : The explosion is prevented, but I'mtaking a serious radiation hit out here. I need to get back to the Hab's shielding immediately. | IMAGES:Grant-charactor
SaoHoa09-SCENE 126: Low terrain-reading angle — Late afternoon fatigue light — Sintering platform — Gripping the manualsteering joysticks, Grant-charactor initiates the loader’s descent back down the steep basalt path. The electric motorsgroan as they operate in reverse for braking, while the tracks slip repeatedly on the loose, volcanic rocks that slidedown the incline behind the vibrating crawler. He watches the path carefully. | CONTINUITY: crawler descending basaltslope, track brake slip active | NEXT: traversing past the automated mining zone | AUDIO: grinding electric motors,rattling tracks, tumbling gravel | VOICE : none | IMAGES: Grant-charactor
SaoHoa09-SCENE 127: Reflected monitor glow — Late afternoon fatigue light — Mining zone — Driving the loader through thedark mining zone, Grant-charactor navigates past the silent regolith excavator under the pulsing green and violet sky.The solar storm's charged particles are now creating intense static interference, causing the vehicle’s primarynavigation screens to flicker and distort with random horizontal lines. | CONTINUITY: traversing mining zone, screeninterference rising | NEXT: passing the protective soil berm line | AUDIO: electrical static crackle, humming electricmotors, track grinding | VOICE : none | IMAGES: Grant-charactor
SaoHoa09-SCENE 128: Rear follow frame — Late afternoon fatigue light — Regolith berm line — Rolling past the massiveprotective regolith berms, Grant-charactor aligns the loader with the open doors of the rover hangar. The wind is nowscreaming across the flat desert, throwing massive sheets of fine red sand against the vehicle's metal hull and leavinglong, sweeping streaks across the dusty windshield. He enters the bay. | CONTINUITY: approaching rover hangar,wind-blown sand storm | NEXT: driving loader crawler into hangar | AUDIO: roaring exterior wind, metallic hull rattling,track crunch | VOICE : none | IMAGES: Grant-charactor
SaoHoa09-SCENE 129: Medium static working frame — Maintenance strip spill — Rover bay — Entering the dark, freezinghangar bay, Aiden-charactor steers the heavy loader back into its designated parking slot. The yellow hazard lights castpulsing reflections on the corrugated metal walls as the vehicle's tracks grind to a final stop, and he cuts the mainelectric generator, leaving the cabin in silent darkness. He rests. | CONTINUITY: loader vehicle parked, generatorshutdown completed | NEXT: exiting the loader cabin inside the hangar | AUDIO: tracks grinding to stop, electric motorwind-down, sudden quiet | VOICE : none | IMAGES: Aiden-charactor
SaoHoa09-SCENE 130: Fixed interior frame — Maintenance strip spill — Rover bay — Pushing open the cabin door,Aiden-charactor climbs slowly down the side ladder, his boots clanking on the rungs. The freezing, unpressurized hangarair makes his breath freeze on his visor as he steps onto the floor, his body shaking with extreme physical fatigue. Heheads to the airlock. | CONTINUITY: exited loader, climbing down under extreme fatigue | NEXT: navigating to the airlockchamber hatch | AUDIO: cabin door squeak, metal rungs clanking, heavy ragged breathing | VOICE : I made it back, but mysuit's radiation warning is pulsing constant. I need to get inside the shielded core before the storm peaks. | IMAGES:Aiden-charactor
SaoHoa09-SCENE 131: Close structural insert — Maintenance strip spill — Rover bay — Dragging his feet toward the heavysteel airlock door, Aiden-charactor grabs the manual leverage latch. His hand is trembling and his fingers are stiffwith cold, a sign of mild frostbite starting to set in through his thin glove insulation after his prolonged manualeffort under the freezing surface conditions. He struggles to pull. | CONTINUITY: reaching airlock entry, handsstiffened by extreme cold | NEXT: unlatching the outer airlock door | AUDIO: heavy boot scrapes, steel latch creak, fastradiation alarm | VOICE : none | IMAGES: Aiden-charactor
SaoHoa09-SCENE 132: Constrained corridor frame — Airlock prep illumination — Airlock chamber — Stepping through thecircular hatch into the cramped airlock chamber, Aiden-charactor uses his left shoulder to swing the heavy door shutbehind him. The metallic latch clicks loudly into place as he seals the chamber, escaping the unpressurized rover bayand preparing to initiate the critical repressurization cycle once more. | CONTINUITY: airlock chamber entered, outerhatch sealed airtight | NEXT: starting repressurization sequence | AUDIO: steel door slam, heavy lock engagement, suitrecycler hum | VOICE : none | IMAGES: Aiden-charactor
SaoHoa09-SCENE 133: Medium static working frame — Airlock prep illumination — Airlock chamber — Slapping the large redrepressurization panel on the wall, Aiden-charactor initiates the sequence to flood the chamber with warm air. He standsslumped against the steel support bar, closing his eyes as the loud, high-pressure hiss of nitrogen-oxygen gas echoesthrough the small space, warming his frozen suit. | CONTINUITY: repressurization initiated, atmospheric density rising |NEXT: waiting for airlock pressure equalization | AUDIO: loud rushing gas hiss, equalizing valve whistle, heavybreathing | VOICE : none | IMAGES: Aiden-charactor
SaoHoa09-SCENE 134: Fixed interior frame — Airlock prep illumination — Airlock chamber — As the airlock pressure displaystabilizes at exactly fourteen-point-seven psi, Aiden-charactor reaches up with his stiff hands to unlatch hisgold-tinted outer visor. He slides it upward, revealing his pale, sweat-streaked face under the pale artificial lightingof the chamber, his eyes dull with physical exhaustion. | CONTINUITY: pressure equalized, visor unlatched and slidupward | NEXT: opening the inner airlock hatch | AUDIO: lock-ring hiss, visor slide click, deep wheezing breath | VOICE: none | IMAGES: Aiden-charactor
SaoHoa09-SCENE 135: Constrained corridor frame — Emergency pulse reflection — Airlock chamber — Stepping from theairlock into the corridor, Aiden-charactor struggles to drag his heavy boots. The main lights are dark, but theemergency lighting casts a red-orange glow over the exposed electrical lines vibrating with the hum of backupgenerators. | CONTINUITY: entered main Hab corridor, emergency power active | NEXT: navigating to the suit staging bay |AUDIO: heavy boot scrapes, generator hum, wall vibrations | VOICE : I'm inside, but the dosimeter shows I've breached mysafe operational limit. The physical cell damage is already done. | IMAGES: Aiden-charactor
SaoHoa09-SCENE 136: Fixed interior frame — Pale sleeping-bay glow — Suit staging bay — Reaching the suit staging bay,Aiden-charactor collapses heavily onto the textured metal bench. He leans forward, his chest rising and falling slowlyas he struggles with the heavy waist rings of his sixty-kilogram spacesuit, his grease-stained fingers shaking tooviolently to easily engage the mechanical latch closures. | CONTINUITY: arrived at suit staging bay, waist rings jammed| NEXT: unlocking the spacesuit waist latch | AUDIO: heavy suit thump, metal latch rattle, rapid wheezing breathing |VOICE : none | IMAGES: Aiden-charactor
SaoHoa09-SCENE 137: Medium static working frame — Maintenance strip spill — Suit staging bay — With a sharp, exhaustingtwist, Aiden-charactor finally unlocks the primary metal waist ring of his spacesuit. A loud hiss of escaping jointpressure echoes through the sterile room as the upper torso section loosens, allowing him to slowly lift the heavycomposite chest plate off his trembling shoulders and onto the hoist. | CONTINUITY: waist ring unlocked, chest piecemounted on hoist | NEXT: stepping out of the lower spacesuit torso | AUDIO: high-pressure joint hiss, heavy hoistrattle, physical grunt | VOICE : none | IMAGES: Aiden-charactor
SaoHoa09-SCENE 138: Close structural insert — Pale sleeping-bay glow — Suit staging bay — Stepping out of the rigid,dust-coated lower sections of his spacesuit, Aiden-charactor stands on the cold concrete floor in his dark, sweat-soakedthermal undergarments. His right shoulder is visibly swollen and bruised through the thin fabric, a visual testament tothe intense physical toll of his Martian day. He shivers. | CONTINUITY: spacesuit completely removed, swollen shoulderinjury exposed | NEXT: moving to technical bay medical station | AUDIO: bare feet on cold floor, fabric rustle, softsuit creaks | VOICE : none | IMAGES: Aiden-charactor
SaoHoa09-SCENE 139: Constrained corridor frame — Emergency pulse reflection — Hab corridor — Walking slowly down thedark corridor toward the medical cabinet, Aiden-charactor holds his injured right arm against his chest. The thinthermal undergarment offers little protection against the dropping temperature of the Hab, which has fallen to tendegrees Celsius now that the primary heaters are operating on emergency power-save. | CONTINUITY: walking through coldcorridor, Hab internal temperature dropping | NEXT: retrieving anti-radiation meds from medical kit | AUDIO: softfootsteps on grating, shivering breaths, low heater hum | VOICE : none | IMAGES: Aiden-charactor
SaoHoa09-SCENE 140: Close tool insert — Work-lamp cone — Tech station — Opening the medical cabinet under the work-lamp,Aiden-charactor pulls out a pre-filled emergency injector of potassium iodide. His fingers tremble as he prepares theneedle, knowing the medicine will only slow down the long-term cell damage caused by his radiation exposure. He prepshis skin. | CONTINUITY: cabinet opened, anti-radiation injector prepped | NEXT: administering the radiation medication |AUDIO: plastic cabinet click, syringe rustling, rapid heartbeat | VOICE : My dosimeter says I crossed the safe thresholdtwenty minutes ago. This thyroid block is the only way to slow down the bone marrow decay. | IMAGES: Aiden-charactor
SaoHoa09-SCENE 141: Close structural insert — Work-lamp cone — Tech station — Pressing the mechanical auto-injectorfirmly against his upper thigh, Aiden-charactor winces as the spring-loaded needle fires with a sharp, high-pitchedclick. He holds the plastic syringe in place for exactly ten seconds as the thick, cold therapeutic fluid is forced deepinto his muscle, his jaw set tight against the pain. He breathes out. | CONTINUITY: emergency radiation medicationinjected, pain active | NEXT: discarding the empty auto-injector syringe | AUDIO: sharp mechanical spring click, sharpintake of breath, heartbeat thuds | VOICE : none | IMAGES: Aiden-charactor
SaoHoa09-SCENE 142: Medium static working frame — Emergency pulse reflection — Tech station — Dropping the empty plasticinjector into the metal medical waste bin, Aiden-charactor collapses back against the tech station counter, sliding downslightly. He rubs his swollen right shoulder with his left hand, trying to restore circulation to his numb fingers asthe red emergency light flashes overhead in slow, rhythmic pulses. | CONTINUITY: empty injector discarded, shoulder painslowly subsiding | NEXT: checking the backup reactor breaker status on tech console | AUDIO: metallic clatter in bin,deep exhausted sigh, emergency pulse hum | VOICE : none | IMAGES: Aiden-charactor
SaoHoa09-SCENE 143: Close structural insert — Emergency pulse reflection — Tech station — Approaching the physicalmaster breaker panel, Aiden-charactor checks the structural integrity of the high-voltage lines. The copper busbars areblackened and distorted from the massive short-circuit heat, but the contactors are held safely open, indicating themain electrical loop of the Hab has been preserved from total melting. | CONTINUITY: physical breaker panel checked,carbon scorch marks visible | NEXT: navigating to command console to restore heating | AUDIO: electrical hum, softfootsteps, light metallic tapping | VOICE : none | IMAGES: Aiden-charactor
SaoHoa09-SCENE 144: Medium static working frame — Reflected monitor glow — Command console — Sitting back down at thecentral command console, Aiden-charactor types a sequence of commands to reset the backup reactor's safety limits. Heroutes power back to the primary life support heaters, watching with mild relief as the ventilation system begins tosigh softly, releasing a slow flow of warm air into the dark cabin. | CONTINUITY: basic life support power restored,cabin heating active | NEXT: verifying final sintering progress on the screen | AUDIO: keyboard clicks, ventilationsystem sigh, pitch-shifting fan hum | VOICE : none | IMAGES: Aiden-charactor
SaoHoa09-SCENE 145: Reflected monitor glow — Reflected monitor glow — Command console — Pulling up the final telemetry,Aiden-charactor reviews the layout map of the Hab expansion dome. The progress bar displays exactly eighty-five percentcompletion; the protective basalt arch is incomplete, leaving a critical structural gap directly above the secondarybio-module. | CONTINUITY: sintering progress at eighty-five percent, shield gap active | NEXT: reviewing solar stormatmospheric penetration | AUDIO: digital chimes, keyboard clicks, computer fan | VOICE : Eighty-five percent. It's not aperfect shield, but the main core is covered. The bio-module is going to take some exposure tonight. | IMAGES:Aiden-charactor
SaoHoa09-SCENE 146: Close tool insert — Reflected monitor glow — Command console — Switching the console to the Hab’sinternal sensors, Aiden-charactor watches the radiation level graphs begin to rise in slow, steady curves. The maincabin remains well within the safe zone thanks to the completed core basalt shield, but the unshielded bio-module isalready showing light ion penetration, requiring an automated seal. | CONTINUITY: internal radiation graphs rising, coreshield holding | NEXT: initiating automated bio-module quarantine sequence | AUDIO: soft digital alarm, mechanical doorsliding, keyboard clicks | VOICE : none | IMAGES: Aiden-charactor
SaoHoa09-SCENE 147: Reflected monitor glow — Emergency pulse reflection — Command console — Striking the centraloverride key on the console, Aiden-charactor triggers the isolation protocol for the unshielded sections of the Habexpansion dome. On the display, the structural map turns red as heavy, thick radiation blast doors slide downautomatically to seal the core modules off from the contaminated outer areas. | CONTINUITY: quarantine protocol active,radiation blast doors sealed | NEXT: checking venting lander telemetry on sensor display | AUDIO: deep structural thuds,metal slams in distance, diagnostic hum | VOICE : none | IMAGES: Aiden-charactor
SaoHoa09-SCENE 148: Medium static working frame — Reflected monitor glow — Command console — Tapping the remotediagnostic map, Aiden-charactor monitors the status of the buried lander probe on the basalt ridge. The hydrazine fuellines are fully empty, and the pressure has dropped to zero, confirming that the threat of a catastrophic explosion hasbeen completely resolved, leaving the base structural foundation intact. | CONTINUITY: lander pressure zero, explosivechemical hazard neutralized | NEXT: closing the telemetry terminal for the day | AUDIO: low computer hum, soft keyboardtap, rhythmic generator vibration | VOICE : none | IMAGES: Aiden-charactor
SaoHoa09-SCENE 149: Fixed interior frame — Dim power-save lighting — Meal station — Sitting down at the small mealstation under the dim power-save lighting, Aiden-charactor rests his chin in his hand, staring blankly at the coldmetallic food prep counter. The room is silent except for the low, rhythmic hum of the air recycler, emphasizing hiscomplete, absolute isolation on this barren, storm-ravaged world. | CONTINUITY: sitting at meal station, profoundfatigue and loneliness | NEXT: opening a sterile water packet to drink | AUDIO: air recycler hum, distant wind scrapingbase shell | VOICE : none | IMAGES: Aiden-charactor
SaoHoa09-SCENE 150: Anchored over-shoulder — Dim power-save lighting — Meal station — Squeezing a small water pouch intohis dry mouth, Aiden-charactor swallows, eyes locked on the crimson aurora visible through the viewing window. Thegreen-violet flashes cast dancing patterns across his pale skin and his sweat-soaked undergarment as he sits alone. |CONTINUITY: hydration completed, observing storm aurora | NEXT: preparing the evening video log terminal | AUDIO: softwater squeeze, swallowing sound, distant wind howl | VOICE : I prevented the explosion, but the cost was high. Radiationis a patient killer. Now I just have to survive the night and see what tomorrow brings. | IMAGES: Aiden-charactor
SaoHoa09-SCENE 151: Medium static working frame — Dim power-save lighting — Meal station — Setting down his empty waterpouch on the metal counter, Aiden-charactor winces as a sudden wave of dizziness forces him to grip the table edge. Thedim red emergency lights cast long, ominous shadows across his sweat-beaded forehead, highlighting his pale complexionas he struggles to maintain his balance in the silent cabin. | CONTINUITY: physical exhaustion, rising internalradiation | NEXT: moving to tech station to run diagnostic | AUDIO: soft water pouch crinkle, rhythmic air recycler hum,heavy breathing | VOICE : none | IMAGES: Aiden-charactor
SaoHoa09-SCENE 152: Constrained corridor frame — Emergency pulse reflection — Hab corridor — Gripping the damphandrails, Aiden-charactor drags his feet along the narrow corridor toward the technical bay. The walls vibrate with theerratic, low-frequency hum of the overloaded generators, and his breath comes in shallow, ragged gaps as the cold airmakes his lungs ache under the dim, pulsing orange warning lights. | CONTINUITY: physical exhaustion, generator strain |NEXT: accessing tech station console | AUDIO: sliding hand on metal, heavy boot scrapes, generator whine | VOICE : none| IMAGES: Aiden-charactor
SaoHoa09-SCENE 153: Medium static working frame — Reflected monitor glow — Tech station — Collapsing onto the worn metalstool, Aiden-charactor types with trembling fingers to open the primary atmospheric displays of the quarantinedbio-module. The terminal screen illuminates his pale, sweat-streaked face with a harsh green glow, revealing a criticalpressure drop in the nitrogen lines that feeds the algae beds. | CONTINUITY: terminal telemetry active, bio-modulequarantine | NEXT: inspecting failure point on the schematic | AUDIO: rapid keyboard clicks, cooling fan hum, lowdiagnostic beeps | VOICE : none | IMAGES: Aiden-charactor
SaoHoa09-SCENE 154: Reflected monitor glow — Emergency pulse reflection — Tech station — Staring at the flashing redschematic of the dome, Aiden-charactor realizes that a manual relief valve on the external wall has locked in the openposition due to static freezing. The loss of nitrogen threatens to freeze the primary bio-cultures within minutes,destroying the Hab's long-term oxygen source. | CONTINUITY: nitrogen line failure, freezing valve anomaly | NEXT:planning night emergency EVA | AUDIO: rapid warning chimes, high-pitched terminal alert, rapid heartbeat | VOICE : none| IMAGES: Aiden-charactor
SaoHoa09-SCENE 155: Medium static working frame — Emergency pulse reflection — Tech station — Reaching for his ruggeddiagnostic tablet, Aiden-charactor pulls up the localized storm forecast, noting the high flux of ionized particlessweeping over the ridge. He knows that stepping outside under this aurora is a massive radiation risk, but leaving theprimary bio-dome to depressurize is not an option. | CONTINUITY: critical choice, bio-dome pressure drop | NEXT: movingto suit staging bay | AUDIO: screen taps, electric hum pitch shift, heavy sigh | VOICE : The auxiliary seal on thebio-dome is failing under the static charge. If I don't secure it, the algae crops die. | IMAGES: Aiden-charactor
SaoHoa09-SCENE 156: Constrained corridor frame — Maintenance strip spill — Hab corridor — Hurrying through the cold,vibrating passage, Aiden-charactor holds his injured right shoulder as he moves toward the staging bay. Thelow-frequency rumble of the life support system echoes off the steel panels, a grim reminder of the fragile boundaryprotecting him from the toxic, freezing vacuum of the Martian night. | CONTINUITY: corridor transition, shoulder pain |NEXT: entering suit staging bay | AUDIO: hurried boot steps on grating, metal frame groans, suit recycler hum | VOICE :none | IMAGES: Aiden-charactor
SaoHoa09-SCENE 157: Fixed interior frame — Pale sleeping-bay glow — Suit staging bay — Standing before the heavycomposite chest plate hanging from the hoist, Aiden-charactor prepares to don his sixty-kilogram spacesuit once more.His hands tremble as he retrieves a fresh carbon filter from the charging rack, slotting it into the primary lifesupport backpack with a heavy, plastic locking click. | CONTINUITY: suit prep, fresh filter installed | NEXT: inspectingsuit joint seals | AUDIO: heavy plastic clamp clicks, hoist metal rattle, deep wheezing | VOICE : none | IMAGES:Aiden-charactor
SaoHoa09-SCENE 158: Close structural insert — Pale sleeping-bay glow — Suit staging bay — Wiping away a layer of fineorange dust from the neck ring silicone seals, Aiden-charactor inspects the surface with a small work-lamp. He checksfor any micro-abrasions that could cause rapid decompression in the extreme wind outside, his movements slow anddeliberate despite the flashing warning clock on the wall. | CONTINUITY: neck ring inspection, dust residue | NEXT:donning lower suit armor | AUDIO: finger rubbing silicone, wind scraping outer shell, diagnostic chimes | VOICE : none |IMAGES: Aiden-charactor
SaoHoa09-SCENE 159: Medium static working frame — Maintenance strip spill — Suit staging bay — Gracing the wall rails,Aiden-charactor lifts his weight with his left arm to slide his legs deep into the heavy, rigid lower torso of the EVAsuit. He winces as the effort flares the deep bruise on his right shoulder, forcing him to pause and catch his breathagainst the cold metal support framework. | CONTINUITY: donning lower suit torso, shoulder pain | NEXT: sealing chestharness | AUDIO: heavy fabric crunch, structural creak of suit, sharp painful grunt | VOICE : none | IMAGES:Aiden-charactor
SaoHoa09-SCENE 160: Fixed interior frame — Pale sleeping-bay glow — Suit staging bay — Heaving with his left hand,Aiden-charactor pulls the heavy upper composite plate down, locking the thick steel waist ring with a heavy twist. Sweatdrips into his eyes as the joint pressure engages with a loud hiss, sealing him within sixty kilograms of pressurizedinsulation under the dim ceiling illumination. | CONTINUITY: suit sealed, internal pressure active | NEXT: moving toairlock chamber | AUDIO: loud metallic lock click, high-pressure joint hiss, heavy breathing | VOICE : Going back outinto a proton storm is madness, but letting the primary oxygen source freeze is suicide. I have no choice. | IMAGES:Aiden-charactor
SaoHoa09-SCENE 161: Close tool insert — Airlock prep illumination — Suit staging bay — Aligning the heavy titanium wristrings of his left glove, Aiden-charactor twists the lock until a sharp metallic ring confirms the airtight seal. Herotates his wrist to test the range of motion, noting that the fine static dust from the earlier shift has already begunto stiffen the composite fabric joints. | CONTINUITY: wrist seal locked, joint friction | NEXT: walking to airlockchamber | AUDIO: sharp metallic lock ring click, glove fabric rubbing, suit hum | VOICE : none | IMAGES: Aiden-charactor
